taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,GOLD Analysis Project ID,GOLD Sequencing Project ID,Contact Name,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Project / Study Name,Specific Ecosystem,Genome Size   * assembled,Gene Count   * assembled
3300010055,Metagenome,Draft,Marine viral communities from the Subarctic Pacific Ocean and the Gulf of Mexico,Marine viral communities from the Subarctic Pacific Ocean - 26_WHOI_OMZ metaG,DOE Joint Genome Institute (JGI),3300010055,Ga0098067,Gp0122835,Matthew Sullivan,Environmental,Aquatic,Oceanic,Marine,Marine viral communities from the Subarctic Pacific Ocean - 26_WHOI_OMZ metaG,Unclassified,192692570,360440
3300027313,Metagenome,Permanent Draft,"Tropical forest soil microbial communities from Luquillo Experimental Forest, Puerto Rico","Tropical forest soil microbial communities from Luquillo Experimental Forest, Puerto Rico - Sample 45 (SPAdes)",DOE Joint Genome Institute (JGI),3300027313,Ga0207780,Gp0054447,Dara Goodheart,Environmental,Terrestrial,Loam,Soil,"Tropical forest soil microbial communities from Luquillo Experimental Forest, Puerto Rico - Sample 45",Forest soil,206272783,481964
3300028556,Metagenome,Draft,"Rhizosphere microbial communities from Carex aquatilis grown in University of Washington, Seatle, WA, United States","Rhizosphere microbial communities from Carex aquatilis grown in University of Washington, Seatle, WA, United States - 4-21-22 metaG",DOE Joint Genome Institute (JGI),3300028556,Ga0265337,Gp0306245,Rebecca Neumann,Host-associated,Plants,Soil,Rhizosphere,"Rhizosphere microbial communities from Carex aquatilis grown in University of Washington, Seatle, WA, United States - 4-21-22 metaG",,511001391,1186650
3300028482,Metagenome,Draft,"Fecal eukaryotic communites from dung pellets of Tule Elk in California, USA","Fecal eukaryotic communites from dung pellets of Tule Elk in California, USA - Elk Dung D8",DOE Joint Genome Institute (JGI),3300028482,Ga0233372,Gp0272175,Kabir Peay,Host-associated,Mammals,Fecal,Digestive system,"Fecal eukaryotic communites from dung pellets of Tule Elk in California, USA - Elk Dung D8",,169745134,342907
3300029818,Metagenome,Draft,"Groundwater microbial communities from Horonobe Underground Research Laboratory (URL), Japan","Groundwater microbial communities from Horonobe Underground Research Laboratory (URL), Japan - horonobe_ig2699","University of California, Berkeley",3300029818,Ga0246095,Gp0288070,,Environmental,Aquatic,Groundwater,Freshwater,"Groundwater microbial communities from Horonobe Underground Research Laboratory (URL), Japan - horonobe_ig2699",,148821655,187485
3300027142,Metagenome,Draft,Freshwater microbial communities amended with dissolved organic matter (DOM) from various rivers in the United States,"Freshwater microbial communities from Columbia River, Oregon, United States - Colum_Cont_RepC_0h",DOE Joint Genome Institute (JGI),3300027142,Ga0255065,Gp0293258,Byron Crump,Environmental,Aquatic,River,Freshwater,"Freshwater microbial communities from Columbia River, Oregon, United States - Colum_Cont_RepC_0h",,146688976,293806
3300023074,Metagenome,Draft,"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin and Kellogg Biological Station in Michigan, replicating the bioenergy cropping systems trials (BCSTs)","Plant litter microbial communities from Arlington Agricultural Research Station in Wisconsin, United States - UWRJ-L028-104C-2",DOE Joint Genome Institute (JGI),3300023074,Ga0247737,Gp0290907,David Duncan,Environmental,Terrestrial,,Plant litter,"Plant litter microbial communities from Arlington Agricultural Research Station in Wisconsin, United States - UWRJ-L028-104C-2",,430434393,920495
3300000408,Metagenome,Permanent Draft,Hydrocarbon resource environments microbial communities from Canada and USA,"Coal-degrading lab enrichment microbial communities from Bowden, Alberta, Canada- methanogenic culture: QSAFCN2",McGill University,3300000408,Ga0009255,Gp0054483,Sean Caffrey,Engineered,Lab enrichment,Anaerobic media,Defined media,"Coal-degrading lab enrichment microbial communities from Bowden, Alberta, Canada- methanogenic culture: QSAFCN2",Unclassified,18846681,25476
3300027217,Metagenome,Draft,"Estuarine microbial communities from the Columbia River estuary, to analyze effect of nutrient fluxes, a time series",Estuarine microbial communities from the Columbia River estuary - metaG 1547A-3 (SPAdes),DOE Joint Genome Institute (JGI),3300027217,Ga0208928,Gp0125805,Holly Simon,Environmental,Aquatic,Intertidal zone,Marine,Estuarine microbial communities from the Columbia River estuary - metaG 1547A-3,Estuary,117931715,246758
3300026252,Metagenome,Draft,"Anaerobic biogas reactor microbial communites from Washington, USA","Anaerobic biogas reactor microbial communites from Washington, USA - Biogas_R1_A C12 SIP DNA (SPAdes)",DOE Joint Genome Institute (JGI),3300026252,Ga0209722,Gp0141803,David Beck,Engineered,Bioreactor,,Anaerobic,"Anaerobic biogas reactor microbial communites from Washington, USA - Biogas_R1_A C12 SIP DNA",,465378870,803647
3300002064,Metagenome,Permanent Draft,Macroalgal surface microbial communities,"Macroalgal surface ecosystem from Botany Bay, Galicia, Spain - SR2-P2",J. Craig Venter Institute (JCVI),3300002064,Ga0011235,Gp0061085,Alexandra Jazmin Roth Schulze,Host-associated,Algae,Ectosymbionts,Green algae,"Macroalgal surface ecosystem from Botany Bay, Galicia, Spain - SR2-P2",Unclassified,284014369,923507
3300025580,Metagenome,Draft,"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration","Wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - Browns_ThreeSqC_D1 (SPAdes)",DOE Joint Genome Institute (JGI),3300025580,Ga0210138,Gp0101319,Susannah Tringe,Environmental,Terrestrial,Wetlands,Soil,"Wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - Browns_ThreeSqC_D1",,272412257,584590
3300021064,Metagenome,Draft,"Subsurface microbial communities from deep shales in Ohio and West Virginia, USA","Subsurface sediment microbial communities from Mancos shale, Colorado, United States - Mancos B2",DOE Joint Genome Institute (JGI),3300021064,Ga0206225,Gp0224409,Kelly Wrighton,Environmental,Terrestrial,,Deep subsurface,"Subsurface sediment microbial communities from Mancos shale, Colorado, United States - Mancos B2",,307874459,797334
3300012277,Metagenome,Draft,"Urban prokaryotic and eukaryotic communities from the subway and surrounding areas in New York, USA","Urban prokaryotic and eukaryotic communities from the subway in New York, USA: city subway wood -P00200",Weill Cornell Medical College,3300012277,Ga0122071,Gp0136025,,Engineered,Built environment,Subway,City,"Urban prokaryotic and eukaryotic communities from the subway in New York, USA: city subway wood -P00200",Unclassified,57634251,76277
3300029935,Metagenome,Draft,Bioreactor microbial communities from Stanley sewage treatment plant in Hong Kong,Bioreactor microbial communities from Stanley sewage treatment plant in Hong Kong - Hydrogenotrophic denitrifying consortium,University of Hong Kong,3300029935,Ga0119876,Gp0137218,,Engineered,Wastewater,Unclassified,Anaerobic digestor,Bioreactor microbial communities from Stanley sewage treatment plant in Hong Kong - Hydrogenotrophic denitrifying consortium,Unclassified,35147399,63731
3300009772,Metagenome,Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Hong Kong - AD_UKC105_MetaG,DOE Joint Genome Institute (JGI),3300009772,Ga0116162,Gp0138783,Wen-Tso Liu,Engineered,Wastewater,Unclassified,Anaerobic digestor,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Hong Kong - AD_UKC105_MetaG,Unclassified,846857797,1694386
3300029776,Metagenome,Draft,"Human feces microbial communities from cholera patients in hospital, Baltimore, Maryland, USA","Human feces microbial communities from a cholera patient in hospital, Baltimore, Maryland, USA - 037_10_29_stool_1","Institute for Genome Sciences, University of Maryland School of Medicine",3300029776,Ga0243759,Gp0282920,,Host-associated,Human,Large intestine,Digestive system,"Human feces microbial communities from a cholera patient in hospital, Baltimore, Maryland, USA - 037_10_29_stool_1",Fecal,216747126,275042
3300020173,Metagenome,Draft,"Coastal salt marsh microbial communities from the Groves Creek Marsh, Skidaway Island, Georgia","Coastal salt marsh microbial communities from the Groves Creek Marsh, Skidaway Island, Georgia - 041408US metaG (spades assembly)",DOE Joint Genome Institute (JGI),3300020173,Ga0181602,Gp0208437,Alison Buchan,Environmental,Aquatic,Intertidal zone,Marine,"Coastal salt marsh microbial communities from the Groves Creek Marsh, Skidaway Island, Georgia - 041408US metaG",Salt marsh,870376052,1648540
3300023171,Metagenome,Draft,"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin and Kellogg Biological Station in Michigan, replicating the bioenergy cropping systems trials (BCSTs)","Plant litter microbial communities from Arlington Agricultural Research Station in Wisconsin, United States - UWRJ-L169-409C-1",DOE Joint Genome Institute (JGI),3300023171,Ga0247813,Gp0290983,David Duncan,Environmental,Terrestrial,,Plant litter,"Plant litter microbial communities from Arlington Agricultural Research Station in Wisconsin, United States - UWRJ-L169-409C-1",,786445810,1570955
3300024284,Metagenome,Draft,"Soil microbial communities from Purdue University Martell Research Forest, Indiana, United States","Soil microbial communities from Purdue University Martell Research Forest, Indiana, United States - CNK12",DOE Joint Genome Institute (JGI),3300024284,Ga0247671,Gp0290841,Charlene Kelly,Environmental,Terrestrial,Unclassified,Soil,"Soil microbial communities from Purdue University Martell Research Forest, Indiana, United States - CNK12",Forest Soil,234297416,596066
3300007940,Metagenome,Permanent Draft,"Human microbial communities from the National Institute of Health, USA, HMP production phase","Human attached/keratinized gingiva microbial communities from NIH, USA - visit 2, subject 763496533 reassembly","Baylor College of Medicine, J. Craig Venter Institute (JCVI), Washington University in St. Louis",3300007940,Ga0114257,Gp0053117,,Host-associated,Human,Oral,Digestive system,"Human attached/keratinized gingiva microbial communities from NIH, USA - visit 2, subject 763496533",Attached/Keratinized gingiva,54728445,62168
3300027348,Metagenome,Draft,"Mesophilic and thermophilic cellulose-adapted microbial communities from the Joint BioEnergy Institute, California, USA","Cellulose-adapted microbial communities from the Joint BioEnergy Institute, USA - Passage B1F03 (SPAdes)",DOE Joint Genome Institute (JGI),3300027348,Ga0207731,Gp0111684,Steven W. Singer,Engineered,Lab enrichment,Unclassified,Defined media,"Cellulose-adapted microbial communities from the Joint BioEnergy Institute, USA - Passage B1F03",Unclassified,45858838,59876
3300012979,Metagenome,Draft,"Fecal eukaryotic communites from dung pellets of Tule Elk in California, USA","Fecal eukaryotic communites from dung pellets of Tule Elk in California, USA - Elk Dung B1 Day 1 Metagenome",DOE Joint Genome Institute (JGI),3300012979,Ga0123348,Gp0141797,Kabir Peay,Host-associated,Mammals,Fecal,Digestive system,"Fecal eukaryotic communites from dung pellets of Tule Elk in California, USA - Elk Dung B1 Day 1 Metagenome",,1405344782,3000482
3300020153,Metagenome,Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 60_MetaG",DOE Joint Genome Institute (JGI),3300020153,Ga0197142,Gp0220147,Ramunas Stepanauskas,Environmental,Aquatic,Hot (42-90C),Thermal springs,"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 60_MetaG",Sediment,461589717,739464
3300029118,Metagenome,Draft,Host-associated microbial communities from gut and oral samples of Rheumatoid Arthritis patients in China,Human fecal microbial communities from Rheumatoid Arthritis patients in China - SZAXPI021286-32,Beijing Genomics Institute (BGI),3300029118,Ga0168844,Gp0193127,,Host-associated,Human,Large intestine,Digestive system,Human fecal microbial communities from Rheumatoid Arthritis patients in China - SZAXPI021286-32,Fecal,158197447,206800
3300014731,Metagenome,Draft,Human host-associated microbial communities from fecal samples of mother and infant in Denmark,Human fecal microbial communities from infant at 4 months in Denmark - 549_4M,Beijing Genomics Institute (BGI),3300014731,Ga0169770,Gp0193757,,Host-associated,Human,Large intestine,Digestive system,Human fecal microbial communities from infant at 4 months in Denmark - 549_4M,Fecal,31068186,37518
3300025615,Metagenome,Draft,"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration","Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - China_Galinas_PWB_D2 (SPAdes)",DOE Joint Genome Institute (JGI),3300025615,Ga0210086,Gp0101336,Susannah Tringe,Environmental,Terrestrial,Wetlands,Soil,"Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - China_Galinas_PWB_D2",,389769327,685982
3300011577,Metagenome,Draft,"Urban prokaryotic and eukaryotic communities from the subway and surrounding areas in New York, USA","Urban prokaryotic and eukaryotic communities from the subway in New York, USA: city subway metal -P00682",Weill Cornell Medical College,3300011577,Ga0121006,Gp0135238,,Engineered,Built environment,Subway,City,"Urban prokaryotic and eukaryotic communities from the subway in New York, USA: city subway metal -P00682",Unclassified,22763424,37225
3300027794,Metagenome,Draft,"Wastewater effluent complex algal communities from Wisconsin, to seasonally profile nutrient transformation and Carbon sequestration","Wastewater effluent complex algal communities from Wisconsin, to seasonally profile nutrient transformation and Carbon sequestration - JI 6/11/14 C2 DNA (SPAdes)",DOE Joint Genome Institute (JGI),3300027794,Ga0209480,Gp0116002,Erica B. Young,Engineered,Wastewater,Unclassified,Nutrient removal,"Wastewater effluent complex algal communities from Wisconsin, to seasonally profile nutrient transformation and Carbon sequestration - JI 6/11/14 C2 DNA",Unclassified,906981758,1824754
3300027873,Metagenome,Draft,"Populus root and rhizosphere microbial communities from Tennessee, USA","Populus root and rhizosphere microbial communities from Tennessee, USA - Soil MetaG P. deltoides SBSDD1 (SPAdes)",DOE Joint Genome Institute (JGI),3300027873,Ga0209814,Gp0116330,Dale Pelletier,Host-associated,Plants,Unclassified,Rhizosphere,"Populus root and rhizosphere microbial communities from Tennessee, USA - Soil MetaG P. deltoides SBSDD1",Unclassified,1283567223,3398490
3300027837,Metagenome,Draft,Methane metabolizing microbial communities from different methane-rich environments from various locations,"Seawater microbial communities from Strait of Georgia, British Columbia, Canada - BC1_12_3",DOE Joint Genome Institute (JGI),3300027837,Ga0255041,Gp0293599,Sean Crowe,Environmental,Aquatic,Strait,Marine,"Seawater microbial communities from Strait of Georgia, British Columbia, Canada - BC1_12_3",,859415036,2240630
3300029071,Metagenome,Draft,Human host-associated microbial communities from fecal samples of mother and infant in Denmark,Human fecal microbial communities from newborn in Denmark - 181_B,Beijing Genomics Institute (BGI),3300029071,Ga0169228,Gp0193537,,Host-associated,Human,Large intestine,Digestive system,Human fecal microbial communities from newborn in Denmark - 181_B,Fecal,19693820,21590
